Date,AAPL,AMD,AMT,AMZN,BAC,CAT,CSCO,CVX,DUK,F,GOOG,HOG,HON,HPQ,IBM,JNJ,JPM,KO,MS,MSFT,NEE,NVDA,PFE,PG,PLD,SONY,T,UNH,VZ,XOM
11/01/2023,172.1156463623047,108.04000091552734,165.3768768310547,137.0,24.962846755981445,224.25137329101562,49.011802673339844,130.549560546875,82.07481384277344,8.622830390930176,126.62032318115234,25.897090911865234,165.18646240234375,24.305463790893555,135.25877380371094,138.7352752685547,132.289794921875,52.777557373046875,66.22675323486328,340.2952575683594,54.61478805541992,42.29772186279297,26.019861221313477,141.21580505371094,94.40848541259766,16.844072341918945,13.87968921661377,509.08843994140625,30.521121978759766,97.64592742919922
11/02/2023,175.67727661132812,107.83000183105469,170.72625732421875,138.07000732421875,26.11643409729004,231.30307006835938,49.537696838378906,134.88369750976562,82.39562225341797,8.822957992553711,127.622802734375,26.418825149536133,167.3771209716797,24.63589859008789,136.7565155029297,140.18150329589844,134.65106201171875,53.385379791259766,68.56965637207031,342.50775146484375,55.99814987182617,43.47795104980469,26.011337280273438,142.94314575195312,97.3076400756836,17.147157669067383,14.013318061828613,513.4266967773438,30.952211380004883,100.85333251953125
11/03/2023,174.76707458496094,112.25,176.67825317382812,138.60000610351562,26.872886657714844,232.87977600097656,49.781864166259766,133.84097290039062,82.75310516357422,9.188403129577637,129.39947509765625,27.433837890625,169.6754608154297,25.168270111083984,137.5844268798828,141.2078399658203,136.1554412841797,53.0580940246582,71.18326568603516,346.9129638671875,55.50275802612305,44.975982666015625,26.65948486328125,141.64999389648438,99.00811767578125,17.317520141601562,14.146947860717773,508.4181823730469,31.0556697845459,99.62397766113281
11/06/2023,177.319580078125,111.75,173.09036254882812,139.74000549316406,26.78778839111328,230.4905242919922,50.04481887817383,133.28787231445312,82.23979949951172,8.970876693725586,130.471435546875,26.342937469482422,168.33775329589844,25.085660934448242,138.57980346679688,141.5437469482422,137.1837615966797,53.27316665649414,70.86589050292969,350.5807189941406,55.184959411621094,45.72150421142578,26.591257095336914,142.47119140625,97.50277709960938,17.172910690307617,14.031136512756348,510.86981201171875,30.728046417236328,97.8585205078125
11/07/2023,179.88197326660156,113.44999694824219,171.93148803710938,142.7100067138672,26.627038955688477,227.24037170410156,49.89455795288086,130.9394989013672,81.83647155761719,8.84906005859375,131.4143524169922,26.08681297302246,167.53871154785156,25.085660934448242,138.4495391845703,140.79733276367188,137.11708068847656,53.469539642333984,70.48319244384766,354.51397705078125,54.6428337097168,45.925376892089844,26.650959014892578,142.14080810546875,96.85232543945312,17.38487434387207,14.111313819885254,515.0546264648438,30.9866943359375,96.32413482666016
11/08/2023,180.94058227539062,113.58999633789062,170.9765625,142.0800018310547,26.37173843383789,227.14364624023438,49.77248001098633,129.11695861816406,80.99317169189453,8.744647026062012,132.26795959472656,26.20064926147461,165.7521209716797,24.975515365600586,137.7053680419922,140.2841339111328,137.7931365966797,53.385379791259766,70.91256713867188,357.13946533203125,53.74551010131836,46.54397964477539,26.284242630004883,141.5933380126953,97.6886215209961,17.341291427612305,13.942049980163574,514.0011596679688,30.840124130249023,95.14099884033203
11/09/2023,180.46568298339844,113.48999786376953,168.5846405029297,140.60000610351562,26.031335830688477,226.49554443359375,48.833370208740234,128.6998748779297,80.62652587890625,8.440106391906738,130.7096710205078,25.403812408447266,165.87850952148438,24.801118850708008,137.94056701660156,137.55030822753906,137.38372802734375,52.98328399658203,69.25106811523438,354.6712951660156,51.14704132080078,46.919734954833984,25.65328025817871,141.91429138183594,95.96956634521484,16.190357208251953,13.924232482910156,516.1752319335938,30.710798263549805,95.16873931884766
11/10/2023,184.65611267089844,118.58999633789062,170.3925018310547,143.55999755859375,26.17317008972168,231.84474182128906,49.3874397277832,129.61566162109375,80.91068267822266,8.579323768615723,133.06201171875,25.271005630493164,168.6148681640625,25.35184669494629,140.19851684570312,137.3916778564453,139.42127990722656,53.039398193359375,70.31517791748047,363.50146484375,51.53961181640625,48.30384063720703,25.48041534423828,142.91481018066406,97.1496810913086,17.02433967590332,13.933141708374023,518.29150390625,30.788394927978516,95.8989486694336
11/13/2023,183.07110595703125,116.79000091552734,170.23487854003906,142.58999633789062,26.19208335876465,233.76971435546875,49.04936599731445,130.56771850585938,79.76490020751953,8.544520378112793,132.6451416015625,25.650449752807617,168.4342498779297,25.498706817626953,139.33294677734375,137.7462615966797,138.8023681640625,53.23575973510742,70.04447937011719,360.56134033203125,50.9413948059082,48.58865737915039,25.048248291015625,143.90585327148438,95.2261962890625,16.50731086730957,13.87968921661377,519.5939331054688,30.88323402404785,96.90645599365234
11/14/2023,185.68638610839844,119.87999725341797,180.04364013671875,145.8000030517578,27.629335403442383,239.7573699951172,49.93212127685547,131.51979064941406,82.35894775390625,9.049184799194336,134.4217987060547,27.291549682617188,171.80279541015625,25.957643508911133,141.5062255859375,137.7742462158203,141.3350830078125,53.39473342895508,73.09678649902344,364.0914306640625,53.7922477722168,49.623985290527344,25.29026222229004,143.58497619628906,101.59134674072266,16.85199737548828,13.924232482910156,517.5733032226562,30.934968948364258,97.27957153320312
